Pos.,Author,Total,AGR,ADY,PDLY,hIndex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Unknown.,8996,593.5,1522.0,33.8,295,8,26,13,4,7,33,35,51,78,47,53,17,40,38,62,121,120,72,133,300,198,190,314,364,258,501,480,680,450,401,858,999,2045
2,Unknown,2124,70.0,249.5,23.5,53,6,7,6,1,7,13,16,9,21,16,16,7,10,15,16,21,24,40,41,70,59,78,97,100,90,126,142,122,147,132,170,189,310
3,"Barreto, G.E.",166,-0.5,6.0,7.2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,8,7,26,25,31,42,6,7,5
4,"Ruiz, F.",74,-1.5,4.5,12.2,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,7,7,5,2,1,4,3,4,10,13,6,6,3
5,"Ruiz-Garcia, M.",72,0.5,3.5,9.7,18,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,4,2,3,6,6,3,3,0,3,3,2,2,7,3,5,1,6
6,"Torres, D.",61,0.0,5.0,16.4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,5,8,14,3,2,7,6,4,6
7,"Aschner, P.",60,-2.5,5.0,16.7,27,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,4,1,2,3,1,9,3,9,2,3,5,10,0
8,"Hamann, U.",56,0.0,4.5,16.1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,8,13,3,2,8,6,3,6
9,"Gonzalez, J.",54,0.0,5.0,18.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,8,2,8,7,2,4,4,6,4
10,"Rosselli, D.",54,-2.0,4.0,14.8,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,6,8,14,9,3,5
