Pos.,Institution,Total,AGR,ADY,PDLY,hIndex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Pontificia Univ Javeriana,4254,-123.0,490.0,23.0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,62,80,96,108,138,148,147,202,268,436,419,548,600,626,354
2,Univ Nacl Colombia,447,-8.5,46.0,20.6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,15,12,8,11,17,14,20,36,56,47,49,56,53,39
3,Hosp Univ San Ignacio,301,-12.0,51.5,34.2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,3,1,3,0,2,2,3,13,40,28,43,55,72,31
4,Pontificia Univ Javeriana Cali,291,-10.0,39.5,27.1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,5,8,8,11,11,14,21,38,37,46,53,26
5,Univ Los Andes,245,-8.0,22.0,18.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,15,14,13,9,7,15,31,24,20,32,28,16
6,Univ Valle,214,-5.5,30.0,28.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2,1,6,12,6,5,9,18,15,27,40,31,29
7,Univ Javeriana,179,-0.5,14.5,16.2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,13,15,11,11,5,8,4,9,22,19,11,10,20,9
8,Univ Autonoma Chile,136,-0.5,1.5,2.2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,25,27,44,2,2,1
9,Univ Sao Paulo,131,-3.0,15.0,22.9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,7,5,5,6,9,17,13,8,9,15,21,9
10,Univ Rosario,130,-1.5,17.5,26.9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,3,2,3,6,6,14,14,18,19,19,16
